BRAND,VERTICAL,WEBSITE,AD_LIBRARY_URL,ACTIVE_ADS_COUNT,AD_SCALE_EVIDENCE,LANDING_PAGE_TYPE,PRODUCTS_OFFERED,HERO_FORMULATION,GENERIC_OR_COMPOUNDED,PRICING_AS_LISTED,EFFECTIVE_PRICE_PER_MONTH,INTRO_OR_TRIAL_OFFER,DISCOUNTS_AND_BUMPS,GUARANTEE,CONSULT_FEE,PRIMARY_ANGLE,CTA_WORDING,CRO_ELEMENTS,FUNNEL_MODEL,SUBSCRIPTION_STRUCTURE,COMPANY_SCALE,VERDICT_NOTES,SOURCE_AND_DATE
Clarivia (buyclarivia.com Shopify store),Toe fungus / onychomycosis,buyclarivia.com,AdLib q=Clarivia,0 (measured 2026-08-14),Meta Ad Library keyword 'Clarivia' returned 'No ads match your search…,Shopify product/collection pages (direct-bu…,Clarivia - 1 Month Supply; Clarivia - 3 Month Supply; Clarivia - 6 Month Supp…,Not stated on the Shopify listings (product bodies are empty). Sister…,Compounded,1 Month $124.00 (compare-at $169.00); 3 Month $296.00 (compare-at $507.00); 6 Month $517.00 (co…,$124.00 / $98.67 / $86.17,None. Compare-at crossouts are the discount mechanic.,No order-bump or upsell app detected on the Shopify storefront. Bumps live on t…,"90-day money back guarantee, per quiz-funnel FAQ: 'If you're not satisfie…",$0 (FREE Doctor Visit included on…,"Direct-pay prescription topical, no insurance, no lab tests, no appoi…",'Buy Now'; 'Check out',Compare-at price crossouts on every SKU; countdown timer on buy.getclarivia.c…,Shopify direct-buy running in parallel with the qui…,Shopify variants are one-time (requires_selling_plan = none…,Same operator as Vuret. Subdomains observed via certificate tra…,Confirms Vuret and Clarivia are ONE operator: getvuret.com links directly to quiz.getclarivia.com. Two live price ladde…,https://buyclarivia.com/products.json + https://buy.getclarivia.com + htt…
KEYWORD SWEEP: 'nail fungus',Toe fungus / onychomycosis,n/a,AdLib q=nail%20fungus,"~8,500 (measured 2026-08-14)","~8,500 active US results on 2026-08-14. Top visible: NONYX Fungal Nai…",Mixed - advertorial and marketplace listings,"OTC gels, supplements, nail salon services",,Predominantly OTC / suppl…,,,,,,,Demand proof,,,Advertorial -> cart,,,"Broadest term in the category at ~8,500 active ads - 4x the 'toenail fungus' volume. Same picture: zero prescription te…",Meta Ad Library 2026-08-14
KEYWORD SWEEP: 'toe fungus prescription',Toe fungus / onychomycosis,n/a,AdLib q=toe%20fungus%20prescription,"~2,800","~2,800 active US results on 2026-08-14. Fungus Free Reset alone accou…",Long-form advertorial with doctor-persona f…,Supplements and OTC positioned against the word 'prescription',,OTC / supplement masquera…,,,,,,,Demand proof + positioning gap,,,Advertorial -> cart,,,"THE SINGLE BEST GAP SIGNAL IN THIS SEGMENT. ~2,800 active ads are bidding on explicit PRESCRIPTION intent, and the adve…",Meta Ad Library 2026-08-14
KEYWORD SWEEP: 'toenail fungus',Toe fungus / onychomycosis,n/a,AdLib q=toenail%20fungus,"~2,100 (measured 2026-08-14)","~2,100 active US results on 2026-08-14. Top visible advertisers by ca…",Mixed - mostly long-form advertorial (nutra…,"OTC gels, supplements, laser/podiatry services",,Predominantly OTC / suppl…,,,,,,,Demand proof,,,"Advertorial -> cart, or local lead form",,,"DEMAND IS REAL AND MOSTLY UNMET BY PRESCRIPTION PLAYERS. ~2,100 active ads and the paid field is dominated by supplemen…",Meta Ad Library 2026-08-14
STRIDE,Toe fungus / onychomycosis,getmystride.com,AdLib q=STRIDE,UNVERIFIED,UNVERIFIED at brand level - the keyword 'STRIDE' is too generic to is…,Long-form content/product site,STRIDE DUO (oral + topical); Oral Only; Topical Only,STRIDE DUO = pulse-dosed terbinafine (with fluconazole option) + STRI…,Both - generic oral + com…,STRIDE DUO from $210 / 3 months ($1.43/day); Oral Only from $129 / 3 months; Topical Only from…,$70 (DUO) / $43 (oral only) / $65 (topical only),None found,None found on the public pages,Money-back guarantee referenced site-wide; exact terms sit behind /terms-…,Not stated (UNVERIFIED),Oral + topical combination therapy beats topical alone; 89% clinical…,'BUY NOW'; 'Get Treated'; 'Start Your Treat…,Repeated 89% efficacy stat; per-day price framing ($1.43/day); free delivery…,Content/product page -> consult -> Rx -> ship,One-time purchase per 3-month treatment cycle,No pharmacy or telehealth partner disclosed on the page (contra…,"The only competitor attacking with ORAL therapy, and the cheapest per month in the category at $43-70. Not buying paid…",https://getmystride.com + Meta Ad Library sweeps 2026-08-14
Vuret (Vurét),Toe fungus / onychomycosis,getvuret.com,AdLib q=Vuret,~58 (measured 2026-08-14),Meta Ad Library keyword 'Vuret' returned ~58 active US results; page…,Brand site -> external quiz funnel (quiz.ge…,Vuret Original; Vuret 2.0,Vuret Original = Itraconazole 1% + Terbinafine 1% + DMSO. Vuret 2.0 =…,Compounded (503A licensed…,Quiz funnel ladder: 'Try One' 30-Day Supply $99 (orig $109); 'Most Popular' 90-Day Supply $79/m…,$99 / $79 / $69,No separate trial. Doctor Consultation listed at $199.00 st…,"4 checkout order bumps, each framed 'at 50% off' with anchor price: (1) 'Yes! A…",'90 Day 100% Money-Back Guarantee ... Try it risk-free for 90 days ... we…,$0 (shown as $199.00 struck throu…,"Prescription-strength topical that penetrates the nail, without oral…",'Start Your Consultation'; 'Qualify Now'; '…,Stat bar: 100% U.S. Licensed Physicians / 3K+ Satisfied Customers / 503A Lice…,Ad -> brand site -> 4-step quiz (severity image sel…,Billed Monthly / Every 3 Months / Every 6 Months by tier; a…,"3,000+ satisfied customers. Vendor stack exposed publicly: Chem…","PRIMARY RIP TARGET - full offer stack now verified at source, not inferred. Checkout campaign is literally named 'Vuret…",https://getvuret.com + https://quiz.getclarivia.com/dosage + https://star…
Emuaid,Toe fungus / onychomycosis (OTC),emuaid.com,AdLib q=Emuaid,~120 (measured 2026-08-14),~120 active US results on 2026-08-14; page 'Emuaid' accounted for 28…,Long-form advertorial,EMUAID / EMUAIDMAX topical ointments,,OTC homeopathic ointment…,EMUAIDMAX First Aid Ointment 2oz $63.90; EMUAID First Aid Ointment 2oz $52.90; EMUAID Therapeut…,$52.90-$63.90 per 2oz jar (duration of a jar not st…,None found,Bundle discount ($119 to $85). No subscribe-and-save percentage shown on the pa…,'We are so confident in the efficacy of EMUAID that we guarantee you'll e…,n/a (no prescriber),Broad-spectrum 'works on everything' skin ointment with a 24-hour rel…,'Add to Cart'; 'Find Your Formula'; 'Get EM…,,Advertorial -> cart,,,"Highest single-brand active-ad concentration among OTC toe-fungus players we measured, at a $52.90-$63.90 price point t…",https://www.emuaid.com + Meta Ad Library 2026-08-14
Kerasal,Toe fungus / onychomycosis (OTC),kerasal.com,AdLib q=Kerasal,~380 (measured 2026-08-14),~380 active US results on 2026-08-14; page 'Kerasal' accounted for 8…,Retail/DTC product page,"Kerasal Fungal Nail Renewal, 0.33 fl oz","Urea, lactic acid, propylene glycol (keratolytic - softens and debrid…",OTC cosmetic nail renewal…,UNVERIFIED - no price displayed on the product page fetched (kerasal.com routes purchase throug…,,None,No subscribe-and-save shown,None stated on the product page,n/a (no prescriber),Speed of visible improvement - 'This formula starts visibly improving…,'Buy Now',,Retail + DTC cart,,,"The retail incumbent most buyers have already failed with before they search for a prescription, which makes 'you alrea…",https://www.kerasal.com/products/kerasal-fungal-nail-renewal + Meta Ad Li…
NONYX Fungal Nail Clarifying Gel,Toe fungus / onychomycosis (OTC),nonyxnailgel.com,AdLib q=NONYX,~18,"~18 active US results on 2026-08-14, of which the page 'NONYX Fungal…",DTC/retail product page,NONYX Fungal Nail Clarifying Gel,,OTC,,,,,,,Clarifying keratin debris rather than claiming to kill fungus,,,Retail + DTC cart,,,"Small absolute budget but punches far above it on the generic sweeps, which suggests tightly-targeted buying. Pricing a…",Meta Ad Library 2026-08-14
Fungus Free Reset,Toe fungus / onychomycosis (suppl…,UNVERIFIED,AdLib q=Fungus%20Free%20Reset,"~1,200","~1,200 active US results on 2026-08-14; the page itself accounted for…",Long-form advertorial,Supplement/protocol positioned against nail fungus,,Supplement (non-Rx),,,,,,,Money-wasted / 'what podiatrists don't tell you' advertorial framing,,,Advertorial -> cart,,,"THE REAL VOLUME LEADER IN THIS CATEGORY - roughly 20x Vuret's active-ad count, and it conquests competitor brand terms…",Meta Ad Library 2026-08-14
Nail Exodus,Toe fungus / onychomycosis (suppl…,UNVERIFIED - nailexodus.com does…,AdLib q=Nail%20Exodus,~230,"~230 active US results on 2026-08-14, all 22 visible cards from the s…",UNVERIFIED - landing domain not reachable f…,,,UNVERIFIED (presumed non-…,,,,,,,UNVERIFIED,,,UNVERIFIED,,,"Real and sustained ad spend (~230 active) but no reachable public brand site under the obvious domain, which is the sig…",Meta Ad Library 2026-08-14
Nuvira,Toe fungus / onychomycosis (suppl…,UNVERIFIED - nuvira.com is a park…,AdLib q=Nuvira,~350,"~350 active US results on 2026-08-14, all 26 visible cards from the s…",UNVERIFIED,,,UNVERIFIED (presumed non-…,,,,,,,UNVERIFIED,,,UNVERIFIED,,,"Same pattern as Nail Exodus: meaningful spend, no discoverable brand home. nuvira.com resolves to a domain-for-sale par…",Meta Ad Library 2026-08-14 + https://nuvira.com
PeterMD (formerly Peter Uncaged MD),"TRT (injectable and oral), HCG, w…",https://getpetermd.com (peterunca…,AdLib q=petermd,82,Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,Instant-checkout ecommerce with a live cart…,"Men's TRT (injectable and oral/enclomiphene), HCG, GLP-1 weight loss, sexual…","Injectable and oral TRT plus standalone HCG (one vial, 10,000 IU). Ex…",UNVERIFIED - not explicit…,"Men's TRT: 12-Month Plan $79/month (labelled Best Value, $948 total, against a stated 'Regular…",$79-$139/mo depending on commitment length - a 43%…,No first-month teaser; commitment length is the discount me…,"A textbook exit-intent order bump, verbatim: 'Wait! Last Chance To Add HCG For…",UNVERIFIED - none found.,Not itemized - 'Unlimited provide…,"Scale and value - cheapest credible TRT, with a direct competitor cos…","'Add To Cart', 'Speak With Us', 'ADD HCG TO…",Tiered plan-length discounting; 'Regular price' strikethrough anchoring; perc…,Instant checkout -> intake -> provider review -> sh…,"Monthly subscription with 1, 6 and 12-month tiers; the annu…",No funding or revenue disclosed - UNVERIFIED.  400K+ subscriber…,"The best single order-bump script in the dataset, and it is worth copying almost verbatim in structure: name the exact…",https://getpetermd.com/ ; https://getpetermd.com/mens-trt/ ; Meta Ad Libr…
Joi + Blokes (formerly Blokes / Bluebir…,"TRT (men), BHRT/hormones (women)…",https://joiandblokes.com (blokes…,AdLib q=blokes,413 on 'blokes' (identical unorde…,Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,Labs-first ecommerce funnel: promotional ba…,"Men's TRT, enclomiphene, women's BHRT, sermorelin peptide therapy, NAD+, GLP-…",Testosterone concentration (mg/mL) is NOT disclosed on the pages craw…,UNVERIFIED at the exact-w…,Membership fee $0 and consultation fee $0. Lab panels: Complete Hormone Panel $149; Advanced Pa…,$99/mo for men's TRT plus $149-$399 of upfront labs…,65% off diagnostic labs with code LABS65 for new customers…,The lab panel tier itself ($149 vs $399) is the main upsell. No separate checko…,UNVERIFIED - no guarantee terms found on the pages crawled.,$0 stated - 'All prescription pro…,"Accessible hormone optimization for both sexes under one roof, with l…","'Checkout', 'ADD', 'Continue', 'Check Addre…",Promotional lab discount banner; biomarker counts (71 markers) as a value sig…,"Labs -> clinician review -> Rx -> ship, with instan…",Monthly medication subscription with $0 membership; labs pu…,"UNVERIFIED - no revenue, funding or patient-count figures found.","CORRECTION TO THE BRIEF: the 'Blokes for men, Bluebird for women' structure is out of date. blokes.co now redirects to…",https://joiandblokes.com/ ; https://joiandblokes.com/product/prescription…
Maximus,"TRT, enclomiphene, weight loss (G…",https://www.maximustribe.com,AdLib q=maximus%20tribe,41,Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,Full ecommerce product catalog with plan pr…,"Injectable Testosterone (flagship), enclomiphene, sermorelin, GLP-1s, oxytoci…",Injectable testosterone delivered subcutaneously in a pharmaceutical-…,"Compounded, explicitly: '…",Injectable Testosterone: 1-Month Plan $199.99/mo; 3-Month Plan $149.99/mo (labelled MOST POPULA…,$99.99-$199.99/mo depending on commitment length -…,No first-month discount; the intro mechanism is commitment-…,No discrete checkout bump captured. The plan-length ladder is the primary conve…,UNVERIFIED - none found on the crawled pages.,Not itemized - bundled into the s…,"Clinical sophistication and protocol quality - MCT oil carrier, paten…","'Start assessment', 'Start my assessment'…"," 'Join 50,000+ men';  'clients saw a mean increase of up to 2x in total testo…",Assessment quiz -> at-home lab test -> doctor final…,"Monthly subscription with 1, 3 and 6-month commitment tiers…",Raised $15M in total venture financing including a Series A ann…,The cleanest commitment-ladder pricing in the sheet: $199.99 for one month against $99.99 on six months makes the long…,https://www.maximustribe.com/pricing ; https://www.maximustribe.com/testo…
Prime Body,TRT/hormone replacement (primary)…,https://primebody.com,AdLib q=prime%20body,21 (exact-phrase); 10696 on the u…,Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,Direct ecommerce checkout page with the med…,"Sildenafil, Tadalafil, 'Superman' (a rebranded sildenafil SKU), plus TRT and…",mg strengths are NOT itemized on the checkout pages - UNVERIFIED. Pro…,"Generic, explicitly 'gene…","FULL LADDER, identical on the sildenafil and tadalafil pages. Subscribe & Save: 18 pills $15.66…","Per-pill on subscription: $0.87 (18-pack), $1.19 (1…",No intro-then-rebill ladder on the ED SKUs - the subscribe…,"The notable tactic is a fee presentation, not a bump: the checkout Cart Breakdo…",None found - UNVERIFIED.,$35 prescription fee listed then…,"Lowest per-pill price, with TRT as the higher-ticket back end.","'Get Started', 'Next', 'Previous', 'Login'…",'Sildenafil by Primebody vs Others' comparison graphic;  'helps 70-85% of men…,Direct checkout with embedded medical questionnaire…,Subscribe & Save requires a 3-month minimum; one-time purch…,"UNVERIFIED. No revenue, funding or customer data found. Listed…",Two tactics worth stealing and one worth avoiding. Steal the subscribe-versus-one-time spread - charging 57-94% more pe…,https://primebody.com ; https://primebody.com/viagra-cialis-checkout/sild…
Marek Health,"TRT/HRT, hair loss, weight loss…",https://marekhealth.com,AdLib q=marek%20health,101,Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,"Coaching-first, book-a-call funnel rather t…","'Guided Optimization' - a coaching plus labs plus provider package, not a fla…",Injections ('our preferred route... allows for highly-personalized do…,UNVERIFIED - no compounde…,"Intake/assessment fee $299. Lab panel minimum purchase $450, verbatim: 'Unlock exclusive discou…",CANNOT BE CALCULATED from public pages - UNVERIFIED…,None found - no intro discount published.,"UNVERIFIED - pricing is consult-gated, so any upsell structure sits behind the…",UNVERIFIED. A Cancellation & Refund Policy page exists but its terms were…,The $299 intake fee functions as…,"Expertise and personalization, anchored on founder credibility rather…","'Start your journey', 'Start treatment onli…"," '50,000+ Marek Health clients transformed'; cited low-testosterone prevalenc…",Book a call -> health coach assessment -> lab analy…,Not a flat subscription - an ongoing coaching relationship…,No funding or revenue disclosed. Co-founded by Derek ('MPMD')…,The highest-ticket structure documented here and a deliberate refusal to publish a price. It works because the buyer ar…,https://marekhealth.com ; https://marekhealth.com/testosterone ; Meta Ad…
Black Coral Wax,Waxing supplies (PCOS-angled crea…,blackcoralwax.com,AdLib q=hirsutism,1 (rendered subset),"Appears in the ""hirsutism"" sweep (~62 total active US) with the ad-le…",DTC ecommerce storefront,"Hard wax (Plumeria, Kai, White Coral, Black Coral, Mae Mae), soft wax, roll-o…",Hard wax (mechanical removal),n/a - cosmetic supply,"Plumeria Hard Wax $45 (2.2 lb, 18% off $55); Kai Hard Wax from $42 (19% off $52); ili Oil 60ml…",UNVERIFIED - a 2.2 lb professional bag covers many…,15% off first order via newsletter,Percentage-off anchors across catalog; PRO wholesale tiers,"No explicit guarantee (emphasizes Free Shipping, Free Returns, Secured Ch…",n/a,"SPLIT: the ad creative targets hirsutism directly (""Hirsutism Chin Wa…","""Shop now"" (ad) / ""Add to cart"", ""Choose op…"," 4.7/5 from 67,000+ members; per-product review counts (Plumeria 764, Black C…",Meta ad (condition-targeted) -> generic pro-supply…,None,Established esthetician supply brand,"TEXTBOOK MESSAGE-MATCH FAILURE AND A FREE LESSON. They buy the hirsutism click with a 'Hirsutism Chin Wax' ad, then lan…",https://blackcoralwax.com/ + Meta Ad Library 2026-08-14
MEDVi,"Weight loss (GLP-1) flagship, men…",https://medvi.org (note: medvi.co…,AdLib q=medvi,2715 (unordered); 2718 exact-phra…,Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,Product-specific advertorial microsite on a…,"MEDVi QUAD (ED), GLP-1 weight loss (compounded semaglutide/tirzepatide and or…","QUAD, marketed as 'the world's first 4-in-1 formula': PT-141 (desire)…","Compounded, explicitly: '…","QUAD displays '$114' and '$179 /month' adjacently with 'Starting at', 'Or Bundle & Save More' a…",$114-$179/mo for QUAD.,No explicit first-month-then-rebill ladder found for QUAD b…,No checkout bumps on the QUAD landing page - cross-sell happens at brand level…,"Cancel anytime, but refunds are heavily restricted. Verbatim: 'You may ca…",Not itemized - 'Doctor Consultati…,Formulation superiority - a 4-in-1 that claims to beat Viagra on hard…,"'SEE IF YOU QUALIFY' (primary), 'Get Starte…",'Old Way vs The QUAD Way' comparison table against Levitra/Viagra/Cialis; ani…,Advertorial microsite -> 3-minute intake -> US-lice…,"Monthly subscription, cancel anytime with 72 hours notice…",Reported by the New York Times (per financials the Times review…,The most important row in this sheet. MEDVi is the existence proof for the exact play a new compounded-Rx brand is cons…,https://medvi.org ; https://quad.medvi.org ; https://medvi.org/refund-pol…
Numan (UK),"Weight loss (GLP-1), ED, hair los…",https://www.numan.com,AdLib q=numan,132,Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,Long-form condition/product landing pages w…,"Mounjaro, Wegovy, Wegovy Pill, Alli (weight loss); finasteride, minoxidil, Re…",Mounjaro (tirzepatide) 2.5/5/7.5/10/12.5/15mg; Wegovy (semaglutide) 0…,Generic and branded manuf…,"ALL PRICES GBP. Mounjaro per month: 2.5mg £219, 5mg £249, 7.5mg £299, 10mg £319, 12.5mg £339, 1…",GBP. ED £12.33-£48.33/mo depending on tier; weight…,ED: 'Save 60% on your first month of ED treatment (max. £35…,Cross-sell add-ons priced as bump-style SKUs: glucomannan supplement from £12.6…,'180 day guarantee - See results or your money back*' on the hair loss li…,No standalone consult fee on prod…,Clinical rigour and preventative health - a 'healthcare co-pilot' rat…,"'Get started', 'Buy now', 'Start your progr…",Before/after testimonial cards with named users and specific kg losses; struc…,Long-form lander -> consultation and clinical revie…,Monthly recurring by default; 3-month prepay on ED at a low…,Closed a $60M (£44.6M) Series B extension including $27M growth…,DOES NOT SERVE THE US - Numan's Terms of Sale require UK residency and it explicitly blocks address-forwarding services…,https://www.numan.com/ ; https://www.numan.com/weight-loss/mounjaro ; htt…
Lemonaid Health,"Weight loss (GLP-1), mental healt…",https://lemonaidhealth.com,AdLib q=lemonaid%20health,140,Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,Mega-menu marketplace homepage; each vertic…,"Named proprietary ED/PE lines (Ironwood Rx, Morning Wood Rx, Bliss Rx), gener…","Ingredient composition of Ironwood Rx, Morning Wood Rx and Bliss Rx i…","Genuinely mixed, and the…",'Lowest price ever for a limited time: GLP-1s starting at $129/mo'. ED daily treatment 'Startin…,GLP-1 from $129/mo; ED from about $60/mo at $2/pill…,'Lowest price ever for a limited time' urgency framing on G…,No order bumps surfaced. UNVERIFIED beyond the gated flow.,UNVERIFIED - no guarantee or refund language located on the pages crawled.,NOT surfaced separately. Unlike S…,"Convenience and price, with proprietary product naming used to escape…",'Weight Loss Treatments - Start online in m…,Urgency and superlative pricing claim; refer-a-friend loop; discreet-delivery…,"Assessment -> e-prescribe, hybrid: plain generics r…",No distinct membership tier found; pricing is per-product m…,A cautionary ownership history. Acquired by 23andMe in 2021 for…,The naming strategy is the lesson: 'Ironwood Rx' and 'Morning Wood Rx' let Lemonaid sell what is very likely commodity…,https://lemonaidhealth.com/ ; https://www.lemonaidhealth.com/ed-options…
Hers,"Weight loss (GLP-1), sexual healt…",https://www.forhers.com,AdLib q=hers,"50,000 (measured 2026-08-14)",Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,Standard ecommerce category page feeding a…,"Weight loss GLP-1 line: Wegovy Pill, Wegovy Pen, Zepbound Vial, Zepbound Kwik…","Brand-name GLP-1s, same disclosure language as Hims. mg strengths not…",Brand-name for the weight…,Wegovy Pill from $149/mo; Wegovy Pen from $199/mo; Zepbound Vial and KwikPen from $299/mo; Foun…,$149/mo medication floor PLUS the required $149/mo…,"Membership $39 first month, auto-renews at $149/mo. Free sm…","The free smart scale is a bundled incentive, not a paid bump. No discrete check…",UNVERIFIED - not located.,Membership billed separately: '$3…,Outcome-led and identity-led for women: named patients with specific…,"'See if I'm eligible', 'Get started', 'Star…",Four named customer video testimonials with results ('down 10 lbs in 2 weeks…,"Quiz -> Rx -> ship, membership-gated.","Monthly membership $39 first month then $149/mo, billed sep…","No separate reporting - consolidated into Hims & Hers Health, I…",The disclosure discipline is the copyable part: Hers pairs strong before/after claims with an explicit compensation and…,https://www.forhers.com/weight-loss ; Meta Ad Library URL in column D - r…
"Eden (tryeden.com, redirects to eden.he…","Weight loss (GLP-1), strength/ED…",https://www.eden.health (from htt…,AdLib q=tryeden,46,Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,Ecommerce category page feeding an eligibil…,Compounded semaglutide and tirzepatide alongside brand-name GLP-1s; sermoreli…,Compounded semaglutide and compounded tirzepatide are the heroes. Spe…,"Both, side by side: compo…","Compounded semaglutide $99/mo; compounded tirzepatide $199/mo; brand-name Ozempic, Zepbound and…",Compounded semaglutide effectively ~$198/mo ongoing…,Membership $39 first month vs $99/mo thereafter. Coupon cod…,No checkout bump captured. The compounded-to-brand-name price ladder ($99 -> $1…,"'Same Price at Every Dose' - a dose-pricing-consistency guarantee, NOT a…","$0 stated: 'Free, same-day consul…",Affordability and price stability against brand-name GLP-1 sticker sh…,"'Get started', 'See if you're eligible', 'L…"," '127,000+ members'; 'FSA & HSA eligible with all plans'; 'FDA-registered lab…",Eligibility quiz -> Rx (compounded or brand-name) -…,Monthly membership $39 first month then $99/mo; site states…,"UNVERIFIED, and there is a name-collision risk: a separately we…",The single best offer structure in this set for a compounded brand to study: 'Same Price at Every Dose' neutralizes the…,https://tryeden.com/ ; https://www.eden.health/weight-loss ; Meta Ad Libr…
Mochi Health,Weight loss telehealth expanding…,joinmochi.com,AdLib q=Mochi%20Health,~120,Meta Ad Library exact-phrase query returned ~120 active US ads on 202…,Membership landing page with a quiz intake,"Weight loss (compounded semaglutide, compounded tirzepatide, Zepbound), hair…",No hirsutism or facial hair product surfaced anywhere on the site,Compounded and brand,"Membership $39 due today for the first month for new members, then $79/month. Compounded semagl…","$79/month membership after the intro month, plus me…","$39 for the first month of membership, a 51% discount off t…",Multi-month prepaid plans offered,None. The site explicitly states 'Individual results are not guaranteed a…,Included in the $79/month members…,Unlimited access to a physician and care team across many conditions…,Get started," '500,000+ members' and '400+ board certified' providers; member testimonial…",Quiz to membership to Rx,Monthly membership with multi-month prepay options; medicat…," 500,000+ members and 400+ board-certified providers (company's…",MEMBERSHIP-PLUS-MEDICATION IS THE OTHER VIABLE MODEL. Splitting a $79 care membership from medication cost raises headl…,"https://www.joinmochi.com/ + Meta Ad Library, verified 2026-08-14"
Musely (FaceRx),Women's derm / female facial hair,musely.com/facialhaircream,AdLib q=Musely,~810 (measured 2026-08-14),Meta Ad Library exact-phrase query returned ~800 active US ads on 202…,Product page with quiz-style Rx intake (no…,"The Facial Hair Cream, plus a broad FaceRx catalog spanning Skin, Hair, Body…",Compounded eflornithine cream. The page names eflornithine and 'other…,Compounded,"$41/month advertised, explicitly 'Starting with a 2-month supply'",$41 effective per month. Derived: a 2-month supply…,None; the $41/mo headline price IS the acquisition offer,UNVERIFIED (no order bumps or upsells visible on the public product page),"60-Day Result Guarantee, and the conditions are punitive: a refund requir…",$20 online visit fee (shown in th…,Cheapest prescription route to removing unwanted facial hair; price a…,Add to Cart,4.6 star rating with 44.3K ratings and reviews displayed above the fold; Cosm…,Product page to Rx intake to drop-shipped compounde…,Auto-refill subscription shipping a 2-month supply per cycle,Musely (legal entity Trusper) secured over $360M in non-dilutiv…,THE VOLUME LEADER AND THE MAIN THREAT. ~800 active ads plus a $360M customer-acquisition facility means they can outspe…,https://www.musely.com/facialhaircream + https://support.musely.com/hc/en…
Nutrafol,Women's hair loss (model-repeats…,nutrafol.com,AdLib q=Nutrafol,"~2,200","~2,200 active US results on 2026-08-14; 'Nutrafol' 14 visible cards…",DTC product + quiz,Nutraceutical hair growth supplements,,Supplement (non-Rx),,,,,,,"Whole-body, drug-free hair thinning solution",,,Quiz/product page -> subscription,,,"Biggest single-brand paid footprint of any brand measured in this dataset (~2,200 active ads) and it is a SUPPLEMENT, n…",Meta Ad Library 2026-08-14
Vegamour,Women's hair loss (OTC benchmark),vegamour.com,AdLib q=Vegamour,~340,~340 active US results on 2026-08-14; brand page 'Vegamour' 16 visibl…,DTC product pages + creator collabs,Plant-based hair serums and supplements,,OTC cosmetic / supplement,,,,,,,"Drug-free, plant-based alternative to minoxidil",,,Product page -> subscription,,,Runs the retail-plus-creator playbook (Sephora and Amazon alongside paid social) that none of the compounded telehealth…,Meta Ad Library 2026-08-14
Oana Health,Women's hormonal / PCOS / hirsuti…,oanahealth.com,AdLib q=Oana%20Health,~5 (measured 2026-08-14),Meta Ad Library exact-phrase query returned 'No ads match your search…,"Dedicated long-form product landing page, p…","Hairless Hype (the hero), standalone Eflornithine 12%, Topical Metformin, Met…",Hairless Hype = eflornithine 12% and 16% + metformin 5% + azelaic acid,Compounded,Inconsistent across their own pages. Homepage says Hairless Hype 'Starting at $115/month'; the…,$115 to $139 per month depending on which of their…,10% off the first month with code WELCOME10; a newsletter p…,10% first-month code WELCOME10; $20-off newsletter capture; no order bumps obse…,None offered,$20 one-time medical approval fee…,PCOS and female-hormonal-health specialist; anchors against the cost…,Get Hairless Hype,"5-star testimonial blocks with named patients (Allison L., Victoria A.); Legi…",Landing page to Rx intake to drop-shipped compounde…,Monthly subscription with automatic refills; 20gm and 60gm…,UNVERIFIED. A Crunchbase profile exists but discloses no round…,"CLOSEST DIRECT COMPETITOR AND THE SAME THREE ACTIVES AS OUR HERO SKU. Critically they buy zero Meta traffic, so the pai…",https://www.oanahealth.com/ + https://www.oanahealth.com/category/unwante…
Wisp,Women's sexual and reproductive h…,hellowisp.com,AdLib q=hellowisp,"~1,600 (measured 2026-08-14)",Meta Ad Library exact-phrase query on the brand token 'hellowisp' ret…,Ecommerce shop grid plus a symptoms quiz,"Slow the Grow! facial hair cream, plus a large catalog: BV antibiotics from $…",Slow the Grow! Prescription Facial Hair Reduction Cream with Eflornit…,Compounded. The site desc…,"Starting at $58/month, with a choice of one-time treatment or subscription",$58,None,Wisp+ membership advertised as up to 25% off all products,None stated,Not itemized. The page says the p…,Highest available concentration on the market; convenience and breadt…,Get Started,4.3 out of 5 star rating shown with no review count published; free discreet…,Shop or quiz to Rx; fulfillment is ambiguous (see n…,Choice of one-time purchase or recurring subscription,Approaching a ~$100M revenue run rate and profitable per Forbes…,THE STRENGTH BENCHMARK AND THE PRICE FLOOR. At 13.9% they match the Vaniqa registration-trial concentration and sell it…,https://hellowisp.com/products/eflornithine-facial-hair-cream + https://w…
